head,tail,relation,edge_direction,evidence_count,mean_confidence,max_confidence,edge_score,evidence
Florencia,Sylvester,romantic,undirected,8,0.9803644575,0.98657167,2.1540808807658895,"After Sylvester came of age, Florencia married him and moved to Ehrenfest, as his first and only wife. | *Privately, Florencia thinks that Elvira is more reliable than her husband Sylvester. | Florencia (フロレンツィア, Furorentsia) is the first wife of Sylvester, the archduke of Ehrenfest."
Bezewanst,Veronica,family,undirected,8,0.9800006649999999,0.9878594,2.153281546943839,"Infobox field family/Sister: Veronica Irmhilde (Half-Sister, Deceased) Unnamed Woman (Half-Sister, In-Law, Deceased) | Although he is not a noble, he is the younger brother of Veronica and a relative of Ehrenfest's archducal family. __TOC__ | His sister Veronica gifted him with a noble's ring, but due to his lack of training, he was unable to make proper use of it."
Veronica,Wilfried,family,undirected,8,0.97808843125,0.9896172,2.1490799399507274,"Infobox field family/Grandmother: Veronica | Infobox field family/Offspring: Wilfried (Grandson) Rozemyne (Granddaughter, Adoptive) Charlotte (Granddaughter) Melchior (Grandson) Henriette (Granddaughter) Wolfram (Grandson, Deceased) Detlinde (Granddaughter) Rudiger (Grandson) Alstede (Granddaughter) Benedikta (Great-Granddaugher) | Determined to raise the next Aub, Sylvester's mother Veronica used her influence to take custody of Wilfried and raised him away from his mother, Florencia."
Nahelache,Sigiswald,romantic,undirected,8,0.9779908662500001,0.98494536,2.14886556773484,"She was the first woman Prince Sigiswald married, but from the very beginning, there was the understanding that, due to political concerns and for the stability of the country, she would become the second wife once Sigiswald found a suitable woman to be his first wife. | Upon Sigiswald becoming Aub Korinthsdaum, it is assumed she is now his first wife. | Nahelache (ナーエラッヒェ, Nāerahhe) is Sigiswald's second wife."
God of Darkness,Goddess of Light,romantic,undirected,8,0.9778907912499999,0.9840949,2.1486456804852625,"She and her husband, the God of Darkness, are said to rule over the heavens. | He and his wife, the Goddess of Light, are said to rule over the heavens. | Infobox field family/Spouse: Goddess of Light"
Effa,Tuuli,family,undirected,7,0.9867705314285715,0.98979455,2.0519316351580597,"Infobox field family/Daughter: Tuuli Myne | Infobox field family/Mother: Effa | She resembles her mother Effa, who is well-known for being a beauty."
Hartmut,Leberecht,family,undirected,7,0.9866035899999999,0.9896209,2.0515844902164604,"Infobox field family/Father: Leberecht | Hartmut's mother is Ottilie, and his father is Leberecht. | He is the father of three sons, of whom Hartmut is the youngest and Oliswalt the oldest."
Gieselfried,Letizia,family,undirected,7,0.9857660785714285,0.98954505,2.0498429341602575,"Infobox field family/Relatives: Letizia (Granddaughter, Biological) Benedikta (Granddaughter) Aurelia (Niece) Martina (Niece) Lamprecht (Nephew, In-Law) | Infobox field family/Father: Drewanchel Archducal Family Member (Biological) Gieselfried (Adoptive, Deceased) | Infobox field family/Daughter: Unnamed Daughter (with First Wife, & Letizia's Mother) Detlinde Alstede Several Unnamed Daughters Letizia (Adoptive)"
Bonifatius,Karstedt,family,undirected,7,0.9849047271428573,0.98915243,2.048051804217701,"Infobox field family/Father: Bonifatius | Infobox field family/Son: Karstedt | Bonifatius (ボニファティウス, Bonifatiusu) is Rozemyne's noble grandfather and the father of Karstedt."
Magdalena,Trauerqual,romantic,undirected,7,0.9849004342857144,0.98653513,2.0480428774722257,"Also unlike most other noble born into the same position as her, she married the then-Prince Trauerqual, out of genuine love, rather than political motives. | In part to reward her for the crucial role she played in bringing down the traitor Raublut, Trauerqual now as Aub Blumenfeld, promotes Magdalena to his first wife. | Upon Trauerqual abdicating the throne and Ralfrieda's demotion to third wife, Magdalena becomes his first wife in their new founded duchy of Blumenfeld."
Adelbert,Ferdinand,family,undirected,7,0.9835217357142857,0.9885733,2.045175954389342,Infobox field family/Father: Adelbert (Deceased) | He is also the father of Ferdinand. __TOC__ | Ferdinand was able to escape the villa and find safety in Ehrenfest under the care of Adelbert and his half-sister Irmhilde.
Sylvester,Wilfried,family,undirected,7,0.9826721528571429,0.989792,2.0434092965031003,"Infobox field family/Father: Sylvester | Other than the colour of his hair, he bears a strong resemblance to his father, Sylvester. | Determined to raise the next Aub, Sylvester's mother Veronica used her influence to take custody of Wilfried and raised him away from his mother, Florencia."
Aeussewahl,Heileind,family,undirected,7,0.9825228214285714,0.9895865,2.0430987705270502,Infobox field family/Father: Aeussewahl | He was the father Heileind and Tollkuehnheit. | Ultimately Aeussewahl chose his son Heileind as his successor.
Aeussewahl,Tollkuehnheit,family,undirected,7,0.9809232414285715,0.9894679,2.03977253742581,"Infobox field family/Father: Aeussewahl | He was the father Heileind and Tollkuehnheit. | He was a Royal Family member of the ancient past, being the son of Aeussewahl and the brother of Heileind."
Myne,Tuuli,family,undirected,7,0.9804939300000001,0.98884517,2.038879809406921,"Infobox field family/Sister: Myne (Legally Deceased) | Tuuli (トゥーリ, Tuuri) is the oldest daughter of Gunther and Effa, as well as the older sister of Myne and Kamil. | Infobox field family/Sister: Tuuli (Older Sister)"
Benno,Gustav,enemy_rival,undirected,7,0.9802006714285714,0.9860794,2.0382699953510386,"He has a terrible aptitude for personal affairs though, and though he means well, tends to antagonize rather than support, especially in Benno's case. | Around that time, Benno came into conflict with Gustav. | Benno, who loved Liz, was furious, deepening his hatred for Gustav."
Detlinde,Georgine,family,undirected,7,0.9800902742857144,0.98969287,2.038040430946099,"Infobox field family/Daughter: Detlinde Alstede | Infobox field family/Mother: Georgine (Deceased) | She takes after her mother, Georgine, and is said to look even more like her grandmother, Veronica."
Sylvester,Veronica,family,undirected,7,0.9794570928571427,0.98939496,2.036723767180107,"Infobox field family/Mother: Veronica | Sylvester is the son of Adelbert, the sixth Aub Ehrenfest and Veronica. | She is the mother of Georgine, Constanze and Sylvester."
Gudrun,Justus,family,undirected,7,0.9782757371428571,0.98813975,2.0342672070323204,"She is Justus's sister and Traugott's mother. | He bears a strong resemblance to his mother, Rihyarda, and his sister, Gudrun. | Infobox field family/Sister: Gudrun"
Konrad,Philine,family,undirected,7,0.9782506771428571,0.98760206,2.034215096227286,"Infobox field family/Sister: Philine | She is the older sister of Konrad. | Konrad was born in the city of Ehrenfest as the laynoble son of Kashick and his wife Theresia, and is the younger brother of Philine."
Ferdinand,Veronica,enemy_rival,undirected,7,0.9778665414285713,0.9868831,2.033416308465357,"As the archduke's health worsened, so did Veronica's paranoia; she began persecuting Ferdinand more and more harshly. | Ferdinand assumed that Veronica had eliminated her. | Due to the abuse he suffered at the hands of Veronica, he is especially distrustful, cold, and impatient with women."
Corinna,Otto,romantic,undirected,7,0.9776966885714286,0.98538095,2.0330631093782414,"She married Otto after his passionate persuasion and eventually fell in love with him. | Despite the possibility of drawing the guildmaster's ire, since he was trying to arrange a marriage between Corinna and one of his sons, that would lead to him never being able to do official business as a merchant again, Otto believed marrying Corinna would be well worth it. | After the wedding, he moved in with Corinna on the third floor of the building which houses the Gilberta Company's store."
Adolphine,Ortwin,family,undirected,7,0.9770130028571428,0.9879431,2.0316414249025025,"Infobox field family/Sister: Adolphine | However, his sister Adolphine claims the spot for herself. | He is the younger brother of Adolphine."
Eckhart,Heidemarie,romantic,undirected,7,0.9769598728571428,0.9856871,2.0315309441733933,"She and Eckhart married after his graduation. | She was Eckhart's first wife, but she passed away suddenly. | With Heidemarie being fanatically devoted to Ferdinand and the two of them having sworn they would serve him as a married couple, Eckhart made it his entire live's purpose to live for Ferdinand, for both his own and Heidemarie's sake."
Karstedt,Rozemary,romantic,undirected,7,0.9750055942857143,0.9861427,2.0274671361279504,"Finally, Karstedt married his third wife Rozemary, a mednoble who had an abundance of mana. | Due to his deep love for Rozemary, Karstedt took her side in this family struggle, forcing his first wife Elvira to take Trudeliede's side to keep the balance. | However, due to her unusually large mana capacity she was able to marry into the archnoble family of the Knight's Order Commander Karstedt as his third wife."
Ferdinand,Heisshitze,enemy_rival,undirected,7,0.97290613,0.98395294,2.023101422876963,"As such he holds Ferdinand in high regards in more ways than just as a rival to strive against. | Fellow students like Henrik and Eckhart were immensely impressed by his achievements, and Heisshitze of Dunkelfelger came to view him as a rival. | He is extremely persistent, insisting to challenge Ferdinand for years despite Ferdinand being very reluctant and turning him down repeatedly."
Bertilde,Brunhilde,family,undirected,6,0.9868780333333333,0.9887051,1.9203759809430812,Infobox field family/Sister: Bertilde | Infobox field family/Sister: Brunhilde | Bertilde and her sister Brunhilde are the daughters of the third Giebe Groschel and his first wife.
Georgine,Sylvester,enemy_rival,undirected,6,0.9859706200000001,0.9863753,1.91861023612836,"She worked hard and plotted and eventually made it, but found that just humiliating Sylvester, satisfying as it was, wasn't enough for her. | She had one of her name-sworn put the poison into Sylvester's food and he started to choke at their next dinner. | This caused Grausam, her most loyal servant, to state that they were better off eliminating Sylvester."
Aub Klassenberg,Eglantine,family,undirected,6,0.9859373499999999,0.9893211,1.9185454956977004,"Infobox field family/Relatives: Eglantine (Niece) | Infobox field family/Sister: Eglantine's Mother (Deceased) Eglantine (Adoptive) | After Eglantine was orphaned, she was adopted by her grandfather, who at the time was the Aub Klassenberg."
Florencia,Wilfried,family,undirected,6,0.9856191233333332,0.9896024,1.9179262551973337,"Infobox field family/Mother: Florencia | She is the mother of Wilfried, Charlotte, Melchior, and Henriette. | Determined to raise the next Aub, Sylvester's mother Veronica used her influence to take custody of Wilfried and raised him away from his mother, Florencia."
Effa,Myne,family,undirected,6,0.9852603349999999,0.9896533,1.9172280853381376,"Infobox field family/Daughter: Tuuli Myne | Infobox field family/Mother: Effa Urano Motosu’s Mother (Former) | She was the second daughter of Gunther, a soldier, and Effa, a dye worker."
Bertram,Sidonius,family,undirected,6,0.9848748783333332,0.9889116,1.9164780212984498,"Originally of mednoble birth, being the son of Sidonius, the former Giebe Wiltord. | Infobox field family/Father: Sidonius (Deceased) | Infobox field family/Son: Freuden (Deceased) Laurenz Bertram"
Neigunheit,Rundsein,family,undirected,6,0.9847601666666667,0.9893085,1.9162548027020685,Infobox field family/Father: Neigunheit | He was a son of Zent Neigunheit. | He passed the Grutrissheit Magic Tool to his son Rundsein who was omni-elemental.
Eglantine,Sigiswald,family,undirected,6,0.984002175,0.98977345,1.9147798190250023,"Infobox field family/Relatives: Anastasius (Cousin) Sigiswald (Cousin) Hildebrand (Cousin) Nahelache's Son (Nephew) | Infobox field family/Relatives: Eglantine (Cousin) Stephareine | After some hard work on his part, Anastasius also manages to convince King Trauerqual, Aub Klassenberg, and Eglantine's biological grandfather and adoptive father, the Previous Aub Klassenberg to agree to this arrangement, making it official."
Karstedt,Rozemyne,family,undirected,6,0.98369895,0.9893435,1.914189770420055,"Infobox field family/Father: Karstedt (Baptismal) Sylvester (Adoptive) Gunther (Biological) Urano Motosu’s Father (Former) | Karstedt is Rozemyne's noble baptismal father. | Infobox field family/Daughter: Heidemarie (In-Law, Deceased) Rozemyne Aurelia (In-Law)"
Oswald,Wilfried,service_retainer,directed,6,0.9828434566666667,0.9878976,1.9125250572602728,"Two days after returning with his lord from his third year at the Royal Academy, Oswald resigns from his position as Wilfried's head-attendant and retainer, stating that he could not risk creating an opening for the Leisegangs to exploit against Wilfried. | Oswald (オズヴァルト, Ozuvaruto) is an archnoble of Ehrenfest and formerly Wilfried's head attendant. | Infobox field occupation: Attendant Wilfried's Head Attendant (Former)"
Martina,Detlinde,service_retainer,directed,6,0.9828143716666666,0.9864804,1.9124684604635873,"Martina (マルティナ, Marutina) was an apprentice Ahrensbach archattendant serving Detlinde. | Infobox field occupation: Prisoner Apprentice Attendant of Detlinde (Former) | Due to serving Detlinde, and participating in the Lanzenave invasion, her schtappe was permanently destroyed and will spend the rest of her life imprisoned, regularly having her mana drained."
Lestilaut,Rasantark,family,undirected,6,0.9826332516666666,0.9899086,1.9121160172173903,Infobox field family/Relatives: Lestilaut (Cousin) Hannelore (Cousin) Raufereg (Cousin) Codenest | Infobox field family/Relatives: Hildebrand (Cousin) Rasantark (Cousin) Kenntrips (Cousin) Codenest (Cousin) Reginald (Cousin) | *Rasantark - A male apprentice archknight and cousin of Lestilaut and Hannelore.
Georgine,Gieselfried,romantic,undirected,6,0.982628665,0.98487467,1.9121070919761736,"Around the time Rozemyne was adopted into Ehrenfest's archducal family, Gieselfried's first wife died, and his former third wife Georgine was promoted to first wife. | Right now, Gieselfried and Georgine are looking for a suitable husband for Detlinde. | Georgine (ゲオルギーネ, Georugiine) is the former first wife of Gieselfried, known as Aub Ahrensbach."
Hildebrand,Letizia,romantic,undirected,6,0.9824508133333333,0.98496974,1.9117610086129804,"The only thing that changed is, that Letizia will be marrying into Hildebrand's duchy, Blumenfeld, rather than him coming to Alexandria. | Infobox field family/Spouse: Hildebrand (Engagement promised) | Despite Ahrensbach no longer existing and former Aub Ahrensbach, Gieselfried, with whom the agreement had been made, having climbed the towering staircase, the royal decree promising an engagement between now former Prince Hildebrand and Letizia still stands."
Kashick,Philine,family,undirected,6,0.9822365383333334,0.98994243,1.9113440487157916,"Infobox field family/Daughter: Philine (Former) | Infobox field family/Father: Kashick | Philine was born to a laynoble family as the daughter of Kashick and his previous wife, Theresia."
Justus,Ferdinand,service_retainer,directed,6,0.9822107149999999,0.98812383,1.9112937988293757,"Justus (ユストクス, Yusutokusu) is an archnoble attendant and scholar who serves Ferdinand as a name-sworn retainer alongside Eckhart. | When Ferdinand abandoned noble society and entered the temple, Justus could no longer officially work as his attendant. | Not long after Myne joined the temple, Ferdinand assigned Justus and Eckhart to investigate her activities in the Lower City."
Freida,Gustav,family,undirected,6,0.9818919666666667,0.9890354,1.910673543212548,"Infobox field family/Offspring: Freida (Granddaughter) Damian (Grandson) | Infobox field family/Grandfather: Gustav | Freida (フリーダ Furiida) is the granddaughter of Gustav, the guildmaster of Ehrenfest's Merchant's Guild."
Hannelore,Werdekraf,family,undirected,6,0.9815929466666667,0.98962224,1.9100916771597776,"Infobox field family/Father: Werdekraf | Through his daughter Hannelore, Rozemyne of Ehrenfest had petitioned Aub Dunkelfelger for the rights to produce and sell copies of a book on Dunkelfelger history she had borrowed from Hannelore and translated into modern language. | To make sure that she had made no errors or misunderstandings, she gave a copy of her manuscript to Hannelore and her brother, which they passed on to their father."
Brigitte,Rozemyne,service_retainer,directed,6,0.9812730500000001,0.9877208,1.909469186989462,"Brigitte begins serving as a guard knight for Rozemyne, when she is adopted by the archduke. | Her reputation was so maligned that she agreed to take on the task of serving as Rozemyne's guard knight even though it meant entering the temple and the lower city. | Brigitte (ブリギッテ, Burigitte) is an Ehrenfest medknight, who served Rozemyne as a guard knight."
Gloria,Viscount Dahldolf,romantic,undirected,6,0.9808744216666666,0.9864638,1.9086934920699274,"He later married an ambitious noblewoman named Gloria as his second wife, and had a second son named Shikikoza. | Gloria married the mednoble Viscount Dahldolf as a second wife, and the couple had a son named Shikikoza. | Gloria (グローリエ, Guroorie) was the Viscountess of Dahldolf, a mednoble and first wife of Viscount Dahldolf."
Nikolaus,Trudeliede,family,undirected,6,0.9799299166666665,0.98935854,1.9068555702045937,Infobox field family/Mother: Trudeliede | Infobox field family/Son: Nikolaus | They're the parents of Nikolaus.
Eckhart,Elvira,family,undirected,6,0.9794689283333332,0.9888743,1.9059585283281644,Infobox field family/Mother: Elvira | Infobox field family/Son: Eckhart Lamprecht Cornelius | He also routinely reported back to his mother Elvira about Ferdinand's various achievements while in school.
Magdalena,Raublut,enemy_rival,undirected,6,0.9792726750000001,0.98557276,1.9055766369750455,"At a moment Raublut is letting his guard against her down, while locked with Werdekraf, Magdalena quickly draws her silver dagger and stabs the traitor in the flank, right through his feystone armor. | Magdalena fights exclusively with her schtappe formed into a spear, despite the disadvantages this gives her against the silver cloak Raublut is wearing. | In the confrontation with their enemy, Magdalena and Werdekraf attack Raublut together."
Karstedt,Trudeliede,romantic,undirected,6,0.9787833633333333,0.98538476,1.9046244804368273,"His next marriage was to his second wife Trudeliede, an archnoble and a member of the Veronica faction. | When Trudeliede turned against Rozemary, Karstedt took his third wife's side. | Her marriage to Karstedt only happened at the insistence of Veronica, making Elvira later remark that the marriage was practically forced on Karstedt."
Jonsara,Kashick,romantic,undirected,6,0.9781710016666668,0.98603547,1.9034328796547686,"Jonsara (ヨナサーラ, Yonasaara) is an Ehrenfest laynoble who's the wife Kashick. | When Theresia, the wife of Kashick, a poor layscholar, died shortly after the birth of their son Konrad, he had the choice between hiring a life-in-maid or marrying again. | Theresia died not long after the birth of their son, and Kashick remarried another noblewoman, Jonsara."
Gloria,Rozemyne,enemy_rival,undirected,6,0.978066575,0.98611116,1.9032296747442699,"When Rozemyne enters noble society, Gloria holds her in contempt and often slanders her reputation at tea parties and social gatherings. | Knowing that by her actions she has already doomed herself and unwilling to even attempt to beg for mercy, Gloria quickly scribbles a note re-stating her loathing for Rozemyne and taunting her that she will find it very difficult to find what was stolen. | She informs Georgine that Rozemyne used to be a commoner, and explains that she was responsible for the death of Bezewanst, Georgine’s uncle."
Elvira,Karstedt,romantic,undirected,6,0.977820335,0.9864806,1.9027505138291663,"She attended the Royal Academy and graduated from the scholar's course, and was subsequently married to Karstedt in hopes that it would offer her protection from Veronica's abuse. | Elvira’s husband Karstedt also married a second wife, Trudeliede, and a third wife, Rozemary. | His first marriage was a political match with Elvira, an archnoble woman who created the Florencia faction and the younger sister of the Leisegang-aligned Giebe Haldenzel."
Adelbert,Veronica,romantic,undirected,6,0.9778067950000001,0.9855138,1.9027241662057484,"Adelbert went on to marry his cousin Veronica as his first wife, with whom he had three children: Georgine, Constanze and Sylvester. | Veronica (ヴェローニカ, Veroonika) was formerly the first wife of Adelbert, the sixth Aub Ehrenfest. | Infobox field family/Spouse: Veronica (First Wife) Irmhilde (Engaged, Deceased)"
Heidi,Josef,romantic,undirected,6,0.977774675,0.9860173,1.9026616635717606,"This apprentice was Josef, who ended up marrying her. | This is shown when she asks her husband, Josef, to get his beruf certification once the work with coloured ink was completed . | Josef is Heidi's husband."
Ferdinand,Gieselfried,romantic,undirected,6,0.9777444700000001,0.98469573,1.9026028873557084,"Without further consultation with Aub Ehrenfest, the King announces that Ferdinand and Detlinde will be married right after the girl comes of age, without the usual one-year preparation period. | At the Archduke Conference following Rozemyne's second year at the Royal Academy, Gieselfried approaches Aub Ehrenfest about marrying Ferdinand to Detlinde, but after listing a row of counter-arguments Ehrenfest refuses. | They start pondering the possibility of getting Ferdinand, who is talented but is infamous for staying in the temple, to marry Detlinde."
Hortensia,Raublut,romantic,undirected,6,0.9776815816666667,0.9862113,1.9024805123096178,"To forge a stronger bond between those of Trauerqual's retainers who were formerly in the second and third princes' employ and strengthen the relationship to Klassenberg, Raublut agreed to marry Hortensia, a former Klassenberg noble and scholar of Prince Waldifried. | Hortensia (オルタンシア, Orutanshia) was a Sovereign archnoble, formerly of Klassenberg origin, and was the first wife of the Sovereignty Knight's Order Commander Raublut. | Infobox field family/Spouse: Hortensia (First Wife , Former)"
Anastasius,Eglantine,romantic,undirected,6,0.9774383750000001,0.9863703,1.9020072539886332,"After graduating from the Royal Academy, she married Prince Anastasius and became his first wife. | Shortly after the Lanzenave invasion had been defeated, his wife Eglantine is crowned the new Zent. | He feels he stole her birthright, and he is determined to have her marry Anastasius or Sigiswald to regain her original status as royalty."
Rihyarda,Traugott,family,undirected,5,0.987968242,0.98924667,1.7702014529000945,Infobox field family/Grandmother: Rihyarda | Infobox field family/Offspring: Traugott (Grandson) | He is the grandson of Bonifatius on his father’s side and the grandson of Rihyarda on his mother’s side. __TOC__
Laurenz,Sidonius,family,undirected,5,0.9873282980000001,0.9890175,1.769054827178319,"He is son of Sidonius, the former Giebe Wiltord. | Infobox field family/Father: Sidonius (Deceased) | He was also the father of Freuden, Laurenz and was a member of the former Veronica faction. __TOC__"
Lamprecht,Wilfried,service_retainer,directed,5,0.987246502,0.9882045,1.7689082684207738,"Lamprecht harbored uneasy thoughts after witnessing Rozemyne's blessing at her debut, but as Wilfried's retainer, he did not feel obligated to share them. | With a patient and easygoing personality, Lamprecht is dedicated to his work as Wilfried's retainer. | Lamprecht (ランプレヒト, Ranpurehito) is an Ehrenfest archknight, who currently serves Wilfried as a retainer."
Alexis,Wilfried,service_retainer,directed,5,0.98719136,0.98836994,1.7688094672201216,"Infobox field occupation: Knight Wilfried's Retainer Royal Academy Student (Former) | Alexis (アレクシス, Arekushisu) is an Ehrenfest archknight, who serves Wilfried as a guard knight. | After Veronica was imprisoned and her grandson Wilfried had his winter debut, Alexis was approached by Lamprecht and asked to serve as a guard knight for him, in part to increase the number of neutral and Leisegang nobles in his retinue."
Raimund,Ferdinand,service_retainer,directed,5,0.9870263620000002,0.98822707,1.7685138304912182,"Infobox field occupation: Apprentice Scholar Ferdinand's Retainer | Ferdinand states that he wishes to take Raimund on as a retainer upon his graduation and uses this to request that he be allowed to visit Ehrenfest alongside the two women. | If he manages to pass these tests, Ferdinand will take him on as a long-distance disciple, with even the chance to become Ferdinand's retainer once he comes of age, should he wish to do so and get permission from his home duchy."
Lieseleta,Rozemyne,service_retainer,directed,5,0.9864661379999999,0.98814166,1.7675100438343292,"For Lady Rozemyne's fourth' year at the Royal Academy, Lieseleta is chosen to accompany her as her adult retainer, with Ottilie staying behind to help contain Clarissa and prepare for her lady's move to the Sovereignty come spring. | Infobox field occupation: Aub Alexandria's Head Attendant Rozemyne's Retainer Attendant | Lieseleta (リーゼレータ, Riizereeta) is an adult mednoble attendant who serves as one of Rozemyne's retainers."
Charlotte,Florencia,family,undirected,5,0.98636629,0.98994815,1.7673311402348457,"Infobox field family/Daughter: Rozemyne (Adoptive) Charlotte Henriette | Infobox field family/Mother: Florencia | She is the mother of Wilfried, Charlotte, Melchior, and Henriette."
Detlinde,Letizia,family,undirected,5,0.9860688160000001,0.989326,1.7667981383784968,"Infobox field family/Relatives: Wilfried (Cousin) Charlotte (Cousin) Melchior (Cousin) Henriette (Cousin) Rudiger (Cousin) Rozemyne (Cousin, Adoptive) Aurelia (Cousin) Martina (Cousin) Letizia (Niece) Benedikta (Niece) Bezewanst (Granduncle, Deceased) | Infobox field family/Aunt: Detlinde Alstede | Infobox field family/Sister: Alstede Letizia (Half-Sister, Adoptive)"
Karstedt,Nikolaus,family,undirected,5,0.98604336,0.9894699,1.766752527349448,"Infobox field family/Father: Karstedt | Infobox field family/Son: Eckhart Lamprecht Cornelius Nikolaus | Nikolaus (ニコラウス, Nikorausu) is an Ehrenfest apprentice archknight and the son of Karstedt and his second wife Trudeliede."
Angelica,Lieseleta,family,undirected,5,0.985667552,0.9869239,1.7660791698068363,"She is the younger sister of Angelica. | Infobox field family/Sister: Lieseleta | He hopes that through the close connections Lieseleta's family, and her sister Angelica in particular, have with Lord Bonifatius, he will be able to lower the sentence of his family."
Marthe,Rick,family,undirected,5,0.985132102,0.98851705,1.7651197721990382,"Infobox field family/Sister: Marthe | To escape the fate of being split up with his sister Marthe, the two agree to go with Rozemyne. | In the year in which Rozemyne took up the mantle of High Bishop, the mayor signed a contract with a noble to sell Rick's sister Marthe and her friend Nora, with Lord Kantna as the middleman."
Gunther,Tuuli,family,undirected,5,0.98512413,0.9897669,1.7651054882925494,"Infobox field family/Daughter: Tuuli Myne | Infobox field family/Father: Gunther | Tuuli (トゥーリ, Tuuri) is the oldest daughter of Gunther and Effa, as well as the older sister of Myne and Kamil."
Heileind,Tollkuehnheit,family,undirected,5,0.9850432100000001,0.988347,1.7649604991162995,"He was a Royal Family member of the ancient past, being the son of Aeussewahl and the brother of Heileind. | He was the son of Aeussewahl and the brother of Tollkuehnheit. | Ultimately Aeussewahl chose his son Heileind as his successor."
Florencia,Rozemyne,family,undirected,5,0.9849094280000001,0.9894349,1.7647207939509875,Infobox field family/Daughter: Rozemyne (Adoptive) Charlotte Henriette | Infobox field family/Mother: Elvira (Baptismal) Florencia (Adoptive) Rozemary (Purported Biological) Effa (Biological) Urano Motosu’s Mother (Former) | She is also the adoptive mother of Rozemyne.
